fichier,date,heure_debut,heure_fin,quartier,duree_minutes,latitude,longitude,variante_geocodage
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Onomo Hôtel,120.0,0.4823,9.3958,dico:onomo hotel
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Sablière,120.0,0.4861,9.3916,dico:sabliere
planning_01_02_2026.JPG,01/02/2026,19h30,21h30,Hôtel Orchidée,120.0,0.4709,9.4022,dico:hotel orchidee
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Sotéga,120.0,0.4202,9.4565,dico:sotega
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Cité Mébiame,120.0,0.4202,9.4565,dico:cite mebiame
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Nzeng-Ayong chez les soeurs,120.0,0.4218,9.4787,dico:nzeng-ayong chez les soeurs
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Cité de la caisse,120.0,0.417,9.4713,dico:cite de la caisse
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Hôtel de la CAN,120.0,0.4196,9.4848,dico:hotel de la can
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Sibang 3,120.0,0.4124,9.4945,dico:sibang 3
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Cité de la démocratie,120.0,0.4124,9.4945,dico:cite de la democratie
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Mairie du 6eme,120.0,0.424,9.4716,dico:mairie du 6eme
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Rond-point de Nzeng-Ayong,120.0,0.4218,9.4787,dico:rond-point de nzeng-ayong
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Lalala,120.0,0.3706,9.4713,dico:lalala
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Capal,120.0,0.3673,9.4614,dico:capal
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Soduco,120.0,0.3673,9.4614,dico:soduco
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Z.l.Oloumi,120.0,0.38,9.471,patch:Z.l.Oloumi
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Sogatol,120.0,0.3673,9.4614,dico:sogatol
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Awendjé,120.0,0.3861,9.4771,dico:awendje
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Nkembo,120.0,0.4411,9.4626,dico:nkembo
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,La Peyrie,120.0,0.405,9.445,dico:la peyrie
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Sotéga,120.0,0.4202,9.4565,dico:sotega
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Rio,120.0,0.4202,9.4565,dico:rio
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Atong-Abé,120.0,0.4086,9.4484,dico:atong-abe
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Cocotiers,120.0,0.4127,9.4496,dico_partiel:cocotier
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Atsibe-Ntsos,120.0,0.4127,9.4496,dico:atsibe-ntsos
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Kinguélé,120.0,0.4005,9.4724,dico:kinguele
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,Promo Gabon,120.0,0.4066,9.4556,dico:promo gabon
planning_01_02_2026.JPG,01/02/2026,21h30,23h30,La Campagne,120.0,0.4066,9.4556,dico:la campagne
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Haut de Gué-Gué,120.0,0.431,9.419,dico:haut de gue-gue
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Spa Yacine,120.0,0.431,9.419,dico:spa yacine
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Immeuble SONAHYGA,120.0,0.431,9.419,dico:immeuble sonahyga
planning_01_02_2026.JPG,01/02/2026,23h30,01h30,Immeubles Premium au Haut de Gué-Gué,120.0,0.431,9.419,dico:immeubles premium au haut de gue-gue
